Timestamp (s),X-Position (%),Y-Position (%)
655893,42,47
656193,42,47
656259,42,47
656423,42,47
656626,42,47
657122,40,48
657356,40,48
657592,41,48
658056,41,48
658159,41,48
658222,41,48
648696,35,34
657022,35,35
657286,37,37
658221,34,34
658486,35,35
658886,34,36
659251,32,33
659651,36,40
659856,37,41
660126,34,37
660055,36,42
660355,36,43
660819,39,43
658918,35,33
660218,32,32
660552,31,30
660700,31,32
661236,34,33
661400,33,31
661537,32,31
661570,32,31
661700,31,30
662069,26,27
662199,26,27
662336,29,28
662602,33,33
662836,35,38
662902,35,38
663035,38,41
663035,33,32
663035,32,30
663035,35,34
663270,38,40
663436,37,36
663569,34,33
663670,34,33
663999,33,32
664369,33,31
664599,41,43
664803,39,40
665003,37,36
665136,34,34
664686,36,33
664686,34,33
665238,34,32
665405,34,31
665571,35,31
665672,35,32
665672,36,33
665672,37,33
665672,37,34
666033,38,41
666033,41,41
666033,42,41
666252,35,35
666252,34,34
666252,34,33
666252,34,30
666482,34,31
666545,34,31
666545,34,31
666545,36,32
666545,38,32
666545,38,33
667056,36,34
667189,38,34
667389,37,32
667523,36,31
667656,35,31
667822,37,36
667923,37,36
668055,37,35
668222,36,31
668389,35,31
668486,37,32
668622,37,33
668752,37,33
668822,37,33
668952,37,34
669085,37,34
669252,37,33
669389,35,32
669522,34,31
669655,36,31
669685,36,31
669755,36,31
669885,36,31
670055,36,34
670122,36,34
670288,36,34
670698,37,39
670698,36,37
670698,38,42
671151,35,33
671151,34,32
671151,36,36
671347,36,34
671477,36,34
671547,33,32
671547,33,30
671852,34,31
671852,34,32
671852,40,43
671852,36,34
672084,38,42
672287,38,39
672420,35,36
672454,34,32
672454,34,30
672454,34,30
672454,33,30
672454,34,29
672615,38,39
672615,39,39
672615,38,36
672772,39,42
672772,41,45
672772,36,37
673229,35,34
673229,36,34
673532,34,31
673732,34,30
673901,34,31
674002,35,33
674132,35,34
674265,35,35
674399,36,39
674502,37,40
673153,35,34
674724,36,35
675057,34,31
675091,35,31
675121,36,32
675358,38,34
675387,38,35
675487,38,38
675591,37,38
674754,41,48
674954,41,47
675354,42,48
675554,32,30
675654,32,30
675854,33,31
675954,33,32
676054,33,32
676254,33,33
676354,34,34
676554,32,31
676554,32,32
676554,32,32
676854,38,40
677154,33,31
677254,33,30
677354,34,31
677354,34,32
677254,38,40
677254,38,41
677154,42,46
677154,42,47
677454,35,35
677454,37,37
677454,36,36
677654,35,34
677854,34,33
678054,34,33
678654,35,33
678754,35,33
678854,35,32
678854,34,31
678854,35,31
679254,37,39
679454,38,40
679454,38,40
679554,36,37
680154,33,31
680254,34,31
680354,34,31
680554,34,31
680654,34,31
680654,34,32
